Language,Song Number,Original Title,Normalized Title,Reference Key
hindi,2010,Jaata Mai Jaata Kahaa Tuhi Hai Mera Khuda,jaata mai jaata kahaa tuhi hai mera khuda,F
hindi,2011,येशू Tu है Sabse महान Tubhalayibinakuchkartanahi,tu sabse tubhalayibinakuchkartanahi,F
hindi,2012,Tere Bin Mai Kuch Bhi Nahi,tere bin mai kuch bhi nahi,B
hindi,2013,Kaise Maiteri Mahima Gaau Ashcharyatere,kaise maiteri mahima gaau ashcharyatere,F
hindi,2014,Teri Inayathumparhuihai,teri inayathumparhuihai,D
hindi,2015,Roshnihai Terisabse Mahaan,roshnihai terisabse mahaan,D
hindi,2016,Uss Kruskikyabaathai,uss kruskikyabaathai,F
hindi,2017,Teri Mahima Gaye Hallelujah,teri mahima gaye hallelujah,C
hindi,2018,Tu Bhalayibinakuchkartanahi Yeshutusabsehaimahaan,tu bhalayibinakuchkartanahi yeshutusabsehaimahaan,D
hindi,2019,येशू तेरे Kareeb Aanese,kareeb aanese,D
hindi,2020,m मेरेछोटेह्रदयसेHosanna Yahudiyokerajako,m hosanna yahudiyokerajako,D
hindi,2021,Hey Prabhu Yeshuindonopar,hey prabhu yeshuindonopar,F
hindi,2022,Yeshunedihaishifaa,yeshunedihaishifaa,D
hindi,2023,Aradhana Yeshu Tujhe,aradhana yeshu tujhe,B
hindi,2024,Tumsa Koi Nahi Tuzhakoninahi,tumsa koi nahi tuzhakoninahi,D
hindi,2026,Uskephatak Omeypraveshkarunga,uskephatak omeypraveshkarunga,E
hindi,2027,Chhotebachhokopaasanedo,chhotebachhokopaasanedo,G
hindi,2028,Tere Binamaikuchbhinahi,tere binamaikuchbhinahi,C
hindi,2029,Dhanyavadkare Prabhuki Mahimakare,dhanyavadkare prabhuki mahimakare,F
hindi,2030,Tere Paasaataahu,tere paasaataahu,D
hindi,2031,Kuchnahikuchhnahichahiye Yeshu,kuchnahikuchhnahichahiye yeshu,D
hindi,2032,Chattan Bhavarkebeechme,chattan bhavarkebeechme,D
hindi,2033,Gin Ginkestutikaru,gin ginkestutikaru,A
hindi,2034,Teri Tarifh O,teri tarifh o,G
hindi,2035,Ekaaghardilme,ekaaghardilme,D
hindi,2036,Yeshumeredilmeaa,yeshumeredilmeaa,G
hindi,2037,m पवित्रअतिपवित्रस्थानमेंलेचलप्रभुPavitraati Pavitrasthaanmelechal Prabhu,m pavitraati pavitrasthaanmelechal prabhu,G
hindi,2038,Maihaathuthakargaunga,maihaathuthakargaunga,G
hindi,2039,Pavitra Mujhebanadey Prabhu,pavitra mujhebanadey prabhu,C
hindi,2040,Terejaisakaunhai Elshadai Aradhana,terejaisakaunhai elshadai aradhana,A
hindi,2042,Merejeevanmeyyeshuteranaam,merejeevanmeyyeshuteranaam,G
hindi,2043,Chalotumkhudakesaathraastasakrahai,chalotumkhudakesaathraastasakrahai,A
hindi,2044,Heyjivit Prabhu Yeshumaiteriaaradhanakartahu,heyjivit prabhu yeshumaiteriaaradhanakartahu,A
hindi,2044,Pavitraaatmaaa Teraswagathai,pavitraaatmaaa teraswagathai,E
hindi,2045,Tupavitrapavitrahai,tupavitrapavitrahai,F
marathi,1,Khristamazat Osarvancha,khristamazat osarvancha,E
marathi,2,धन्यवाद येशूला,,G
marathi,3,किती आनंद हा स्वर्गीय Anandha,anandha,C
marathi,5,Yasarvmilunigauya,yasarvmilunigauya,E
marathi,11,Stava Tujhakarudyava,stava tujhakarudyava,D
marathi,20,Kon Mitra Yeshu Vaaniwhatafriend,kon mitra yeshu vaaniwhatafriend,G
marathi,1501,Maazha Yeshu Mala Priyafaar,maazha yeshu mala priyafaar,F
marathi,1502,Tuzhasakonhinahi,tuzhasakonhinahi,D
marathi,1503,Taaraktohsamarthtoh,taaraktohsamarthtoh,F
marathi,1504,Tujhidayasanathanaahe,tujhidayasanathanaahe,G
konkani,378,Jezu Tujim Utram,jezu tujim utram,G
konkani,380,ARGAMTUKASOMIA,argamtukasomia,G
konkani,384,Tukaamin Poleunknam,tukaamin poleunknam,G
konkani,385,Voi Dev Boro Yes Godisgood,voi dev boro yes godisgood,G
